Wavenumber (cm^-1),0M,0.6M,0.8M,1M,1.2M,1.4M,1.8M
414.6272,0.009225423,0.082514473,0.115659467,0.138503792,0.153368788,0.157173907,0.228742449
415.1093,0.013581879,0.076755042,0.115239147,0.143405045,0.150658788,0.158854507,0.220655501
415.5914,0.019265245,0.075689047,0.116506747,0.150320887,0.149832407,0.161905552,0.21323594
416.0735,0.025014884,0.07852499,0.118771247,0.15770951,0.150221141,0.166222481,0.206838551
416.5557,0.02925115,0.083639269,0.120919492,0.163442391,0.150525906,0.170794565,0.201387635
417.0378,0.030639271,0.089152368,0.12182569,0.16549587,0.149359512,0.174121791,0.196605539
417.5199,0.028502003,0.093426909,0.120705814,0.162605477,0.145772883,0.174844696,0.19221076
418.0021,0.022983563,0.095391919,0.117320341,0.154643689,0.139580985,0.172324766,0.187987174
418.4842,0.014981709,0.094667158,0.112040722,0.142649404,0.131428304,0.166934672,0.183734074
418.9663,0.005921864,0.091539121,0.10577703,0.128511756,0.122593471,0.159936056,0.179186304
419.4484,-0.002560818,0.08681383,0.09977459,0.114455714,0.114630849,0.152972507,0.173992314
419.9305,-0.008963254,0.081578227,0.095293612,0.102482229,0.108949136,0.147407054,0.167841186
420.4127,-0.012202117,0.076932617,0.093270904,0.093966963,0.106492963,0.143814794,0.160697005
420.8948,-0.01177464,0.073753444,0.094044862,0.08947873,0.107583047,0.14186698,0.153004562
421.3769,-0.007781114,0.072548213,0.097262133,0.088845661,0.111935743,0.140644591,0.145697098
421.8591,-0.000830344,0.073418373,0.101963489,0.091345672,0.118767884,0.139196437,0.139971758
422.3412,0.008118871,0.076098397,0.106849026,0.095948872,0.126929487,0.137055648,0.136924375
422.8233,0.017935296,0.080059015,0.110636476,0.101519395,0.135028568,0.13444407,0.137204354
423.3054,0.027502504,0.08464956,0.112439435,0.107002781,0.141609351,0.132101492,0.140815065
423.7876,0.035872586,0.089255639,0.112009239,0.111565602,0.145409414,0.130866926,0.147110776
424.2697,0.04236219,0.093439434,0.109757859,0.114714074,0.14567725,0.131264775,0.154991561
424.7518,0.046557915,0.097008574,0.106530456,0.116332622,0.142429607,0.133261283,0.163232314
425.2339,0.048267984,0.099992213,0.103279788,0.116646107,0.136515813,0.136286396,0.170836527
425.7161,0.047455024,0.102534004,0.100746923,0.116089146,0.129416585,0.139460535,0.177255653
426.1982,0.044225597,0.104749872,0.099289198,0.11513379,0.122855668,0.141953786,0.18238739
426.6803,0.038872043,0.106611237,0.098856013,0.114116838,0.118354062,0.143311197,0.18635577
427.1624,0.031928034,0.107904153,0.099110306,0.113133419,0.116858274,0.143602246,0.189204342
427.6446,0.024164072,0.108276419,0.099615271,0.112014415,0.118512702,0.143307961,0.190672187
428.1267,0.01648388,0.107360752,0.100026491,0.110420211,0.122630591,0.143021022,0.190188484
428.6088,0.009738039,0.104921087,0.100186636,0.107996385,0.127849342,0.143102107,0.187095428
429.0909,0.00452494,0.100964897,0.100119843,0.104555823,0.132479965,0.14346971,0.180999069
429.5731,0.00105393,0.095780839,0.099925741,0.10020193,0.134963248,0.143603553,0.172057782
430.0552,-0.00087203,0.089897993,0.099676656,0.09536867,0.134325918,0.142775997,0.161058485
430.5373,-0.001747002,0.083984292,0.099355505,0.090742073,0.13045077,0.140405077,0.149238808
431.0194,-0.002141783,0.078722969,0.098898828,0.087114475,0.124075173,0.136387574,0.137954691
431.5016,-0.002455083,0.074684872,0.098291207,0.085188707,0.116505724,0.131221197,0.128345046
431.9837,-0.002736332,0.072227726,0.097673097,0.085406878,0.10920936,0.125848941,0.121113071
432.4658,-0.002688247,0.071434084,0.097355982,0.087818349,0.103420933,0.121284831,0.116464424
432.9479,-0.001845449,0.072106493,0.097740071,0.092047657,0.099899868,0.118222232,0.114195777
433.4301,0.000142377,0.073803034,0.099131274,0.097331447,0.098830998,0.116770555,0.113837857
433.9122,0.003280445,0.075917433,0.101572703,0.102659127,0.099863898,0.116441982,0.114807308
434.3943,0.007147815,0.077771534,0.104742697,0.106960627,0.102224104,0.116350621,0.116489054
434.8764,0.010996937,0.078704186,0.107983303,0.109320843,0.104877924,0.115541975,0.118261376
435.3586,0.013980551,0.078137974,0.11043487,0.109152463,0.106725152,0.113308692,0.119502253
435.8407,0.015406785,0.075626267,0.11124335,0.106292182,0.106809727,0.109379128,0.119624393
436.3228,0.014917697,0.070898144,0.109755496,0.100987291,0.104517911,0.103928647,0.118168314
436.8049,0.012531713,0.063903488,0.105658773,0.093803416,0.099719261,0.097445463,0.114929311
437.287,0.008559795,0.054868427,0.099019969,0.085477249,0.092801456,0.090546665,0.110056486
437.7692,0.003489531,0.044350901,0.090267876,0.076789509,0.084598299,0.083837744,0.104076433
438.2513,-0.002116276,0.033242802,0.080117752,0.068446659,0.076204829,0.077834223,0.097795553
438.7334,-0.007641467,0.02270463,0.069495305,0.061023794,0.06874882,0.07295437,0.092113039
439.2155,-0.012416631,0.013990482,0.059427379,0.054922134,0.063153579,0.069517425,0.087793359
439.6977,-0.015723912,0.008201088,0.050919284,0.050375282,0.059967761,0.067734181,0.085283433
440.1798,-0.016880417,0.006031338,0.044795165,0.047473271,0.059301191,0.067668431,0.084639095
440.6619,-0.015379166,0.007604768,0.041564073,0.046217592,0.060897585,0.069202355,0.085596256
441.144,-0.011051292,0.0124559,0.041330364,0.046568743,0.064297189,0.072025142,0.087738556
441.6262,-0.00417148,0.019671743,0.043794322,0.048473047,0.069015603,0.075683822,0.090675354
442.1083,0.004538278,0.028130518,0.048321968,0.051838324,0.074640773,0.079676946,0.094130251
442.5904,0.014021314,0.036753004,0.054073427,0.056477251,0.080817554,0.083558002,0.097911068
443.0725,0.023096458,0.044686927,0.060146353,0.062031865,0.087146854,0.087012675,0.101800723
443.5547,0.030703784,0.051374902,0.065722193,0.0679428,0.093092457,0.089879347,0.105458749
444.0368,0.036104074,0.056517304,0.070165652,0.07347081,0.097962151,0.092109266,0.108398173
444.5189,0.03895884,0.059981135,0.073078151,0.077809462,0.101014218,0.093699814,0.110071566
445.001,0.039272238,0.061732374,0.074286792,0.080247521,0.101641508,0.094628029,0.11002334
445.4832,0.03725205,0.061822361,0.073809049,0.080350648,0.099572598,0.094821307,0.108044
445.9653,0.033185546,0.060439123,0.071800854,0.078093632,0.094987263,0.094174406,0.104258473
446.4474,0.027387224,0.057969399,0.068537276,0.073905043,0.088506033,0.092601643,0.09911035
446.9295,0.020236065,0.055009446,0.064397285,0.06859314,0.081043511,0.090099819,0.093254093
447.4117,0.012243361,0.052274691,0.059851534,0.063164917,0.073577484,0.086791345,0.087388093
447.8938,0.004094892,0.050418995,0.055427638,0.058579636,0.066914901,0.082936555,0.08209421
448.3759,-0.003399955,0.049812909,0.051640591,0.055513066,0.061528368,0.078896754,0.077731593
448.858,-0.009440294,0.050401154,0.048912836,0.05420603,0.057526875,0.075078045,0.074425978
449.3401,-0.013396561,0.051716342,0.047522718,0.054469323,0.054766848,0.071878382,0.072154344
449.8223,-0.014941441,0.05306601,0.047577497,0.055814312,0.05303167,0.069648192,0.070858234
450.3044,-0.014103899,0.053825925,0.049030762,0.05766767,0.052194315,0.068657115,0.070525674
450.7865,-0.011253342,0.053683945,0.051695296,0.05954567,0.052257788,0.069037824,0.071180581
451.2686,-0.007025151,0.052728349,0.055261615,0.061147982,0.053282209,0.070712,0.072795582
451.7508,-0.002209718,0.051324885,0.05929257,0.062317294,0.05523376,0.073312849,0.075165217
452.2329,0.002382875,0.04987293,0.063242925,0.062935903,0.057857781,0.076168556,0.077830108
452.715,0.006060959,0.048579539,0.066502207,0.062827935,0.060648558,0.078385819,0.080097362
453.1971,0.008362681,0.047352788,0.068484965,0.06173563,0.062937784,0.079042483,0.081171713
453.6793,0.009120236,0.045856406,0.068730011,0.05938462,0.064055614,0.077442376,0.080353753
454.1614,0.008468939,0.043679647,0.067007709,0.0556179,0.063513436,0.073357951,0.077254664
454.6435,0.006792091,0.040528079,0.063374227,0.050519296,0.061113313,0.067141874,0.071937924
455.1256,0.004609051,0.036354317,0.058159178,0.044463041,0.056963725,0.059660904,0.06494286
455.6078,0.002408299,0.031354102,0.051863625,0.038035897,0.051381198,0.052032825,0.057150425
456.0899,0.000468025,0.025829576,0.044997358,0.0318457,0.044731958,0.045255642,0.049525973
456.572,-0.001271927,0.020003536,0.03791641,0.026294223,0.03729146,0.039870812,0.042833409
