Wavenumber (cm^-1),0M,0.6M,0.8M,1M,1.2M,1.4M,1.8M
719.3299,0.092246913,0.101089723,0.102801544,0.112282612,0.099314568,0.120039684,0.133666644
719.812,0.07601388,0.089394499,0.092660273,0.102243491,0.092964631,0.113636629,0.130067823
720.2942,0.062488379,0.080086428,0.085012294,0.094973589,0.088838934,0.109567873,0.12889764
720.7762,0.051544114,0.073085988,0.079756351,0.090428395,0.086879493,0.107817475,0.13016537
721.2584,0.042829813,0.068178265,0.07662026,0.088362058,0.086887949,0.108197701,0.133704714
721.7405,0.035911574,0.065101108,0.075274075,0.088425922,0.088608769,0.110449589,0.139249254
722.2227,0.030377768,0.063595379,0.075411975,0.090240095,0.091786823,0.114318645,0.146487363
722.7048,0.025897169,0.063425807,0.076790647,0.093430681,0.096191287,0.119588922,0.155093088
723.1869,0.022232464,0.064375994,0.079227163,0.097639419,0.10161286,0.126073427,0.164732766
723.669,0.019225673,0.066240433,0.082571132,0.102519543,0.107843209,0.133574055,0.175062748
724.1511,0.016771718,0.068817147,0.086668301,0.107735275,0.114656105,0.141837254,0.185724304
724.6333,0.014795374,0.071910763,0.091334075,0.112974872,0.121798224,0.150528496,0.19634847
725.1154,0.013235447,0.075335607,0.096343462,0.117975213,0.128995524,0.159243111,0.206565626
725.5975,0.012037697,0.078918585,0.101438883,0.122546215,0.135970639,0.167550412,0.216020751
726.0797,0.011151643,0.082494272,0.106351097,0.126584164,0.142465579,0.175057489,0.224389543
726.5618,0.010525002,0.085896572,0.11082183,0.130059763,0.148255134,0.181464787,0.23139198
727.0439,0.010099872,0.088954782,0.114626415,0.132985518,0.153153726,0.186592641,0.236807325
727.526,0.009810821,0.09150024,0.117589488,0.135373514,0.157011146,0.190370387,0.240490333
728.0082,0.009589418,0.093385333,0.119595943,0.137201005,0.159707342,0.192794607,0.242380154
728.4902,0.009373764,0.094507136,0.120592956,0.138396927,0.161150491,0.193882341,0.242505379
728.9724,0.009121164,0.094826896,0.12059036,0.138858293,0.161287476,0.193641744,0.240975286
729.4545,0.008816937,0.09437456,0.119652432,0.138486714,0.160121446,0.192073079,0.237959022
729.9366,0.008475115,0.093236069,0.11788836,0.13723072,0.157731608,0.189198039,0.233657977
730.4188,0.008130768,0.091528941,0.115438497,0.13511346,0.154280221,0.185096235,0.22828241
730.9009,0.007824844,0.089375144,0.112459395,0.132235268,0.150001341,0.179926647,0.222033573
731.383,0.007590668,0.086884937,0.109108883,0.128748533,0.145168583,0.17392064,0.215100016
731.8651,0.007444562,0.084149637,0.105530897,0.124820161,0.140049629,0.167347588,0.207661342
732.3473,0.007384009,0.081245016,0.101843058,0.120591877,0.134862467,0.160466596,0.199893665
732.8293,0.007393405,0.07823539,0.098125624,0.116162084,0.129745519,0.153485471,0.191969989
733.3115,0.007450744,0.075174973,0.094415294,0.11158607,0.124752304,0.146544386,0.184053926
733.7936,0.007534436,0.072101512,0.090707489,0.106896723,0.119870025,0.139724688,0.176288104
734.2758,0.007623892,0.069031984,0.086965279,0.102129336,0.115053844,0.133077108,0.168784
734.7579,0.007700003,0.065962396,0.083143857,0.097342861,0.110268453,0.126656049,0.161623255
735.24,0.007740872,0.062878575,0.079216279,0.092622449,0.105518253,0.120542225,0.154867974
735.7222,0.007724366,0.05977824,0.075204602,0.088073097,0.100868284,0.114851171,0.148582271
736.2042,0.007629239,0.056693646,0.071197791,0.083799395,0.09644117,0.109720718,0.142854756
736.6864,0.007440938,0.053705565,0.067353033,0.079889973,0.092402243,0.105288013,0.137809726
737.1685,0.007156582,0.050938177,0.063870322,0.07640363,0.088929628,0.101663372,0.133599825
737.6506,0.006786859,0.048533682,0.060951104,0.073367383,0.086181331,0.098907693,0.130377646
738.1328,0.006357192,0.046613745,0.05874391,0.070780721,0.084259555,0.097018086,0.128252179
738.6149,0.005904849,0.04524052,0.057300889,0.068623278,0.083183387,0.095924256,0.127241316
739.097,0.005477626,0.044393329,0.056555295,0.066861623,0.082871222,0.095494136,0.12723683
739.5791,0.00513148,0.043968455,0.056329918,0.065452497,0.083141202,0.095544543,0.127989556
740.0613,0.004926495,0.043802491,0.056374653,0.064338295,0.083727939,0.095852314,0.129123349
740.5433,0.004921786,0.04371096,0.056422058,0.063443729,0.084319767,0.096172185,0.130177299
741.0255,0.005164605,0.043527227,0.056240866,0.06267044,0.084604117,0.096250717,0.13066796
741.5076,0.005678586,0.043132258,0.055676032,0.061900958,0.084320314,0.095850028,0.130165259
741.9897,0.006452004,0.042465776,0.054659122,0.061008814,0.083299063,0.094772918,0.128361999
742.4719,0.007433805,0.041523854,0.053199098,0.059880632,0.081485651,0.092891743,0.125128951
742.954,0.00854061,0.040347081,0.05135757,0.058440496,0.078937661,0.090173154,0.120537438
743.4362,0.009672716,0.039006922,0.049224883,0.056672716,0.075802629,0.086689756,0.114843425
743.9182,0.010738511,0.037595564,0.046906066,0.054634049,0.072284191,0.08261698,0.108441658
744.4004,0.011675521,0.036217521,0.04451849,0.052451936,0.068609404,0.078209314,0.101794811
744.8825,0.012463372,0.034980924,0.04219297,0.050301391,0.065001168,0.073763533,0.095358202
745.3646,0.013122168,0.033985678,0.040072883,0.048373108,0.061661505,0.069571968,0.089510362
745.8467,0.013700269,0.033309717,0.038302661,0.046831539,0.058756639,0.065878396,0.084505577
746.3289,0.014252888,0.032994223,0.037007023,0.045779241,0.056405167,0.062840718,0.080451879
746.811,0.014824279,0.033037169,0.03626852,0.04523589,0.054665219,0.060512873,0.077321927
747.2931,0.015437137,0.033395279,0.036108923,0.045138664,0.0535249,0.058847583,0.074990883
747.7753,0.016091966,0.033994862,0.036484109,0.045362288,0.052898988,0.057717588,0.073289147
748.2573,0.016776824,0.034748294,0.037294874,0.045755358,0.052641356,0.05695399,0.072054667
748.7395,0.017476722,0.035569397,0.038403638,0.046175747,0.052567303,0.056386057,0.071166976
749.2216,0.018181811,0.036383105,0.039658373,0.04651969,0.052490995,0.055878407,0.070555649
749.7037,0.018887764,0.037131767,0.040911538,0.046734079,0.052263993,0.055353907,0.070186509
750.1859,0.019588944,0.037775907,0.042036113,0.046812902,0.051807698,0.054802204,0.07003562
750.668,0.020270847,0.038295717,0.042935795,0.046782328,0.051130092,0.054270722,0.070067672
751.1501,0.0209048,0.038693114,0.043554591,0.046685208,0.050319494,0.053845124,0.070229407
751.6322,0.021449314,0.038991991,0.043883486,0.046567366,0.04951749,0.053621644,0.070461054
752.1144,0.021857792,0.039233527,0.043963031,0.046473223,0.048880605,0.053679743,0.070718493
752.5965,0.022094529,0.039468833,0.043880982,0.046446827,0.048541026,0.054061108,0.070994922
753.0786,0.022148076,0.039744014,0.043757679,0.046535023,0.048577972,0.054760916,0.071328856
753.5607,0.022041275,0.040086397,0.043721658,0.046784283,0.049003802,0.055729544,0.071791602
754.0428,0.021834238,0.040497647,0.043881142,0.047236211,0.049770356,0.056890882,0.072461473
754.525,0.021616389,0.040956041,0.044297477,0.047917459,0.050785644,0.058166348,0.07339361
755.0071,0.021493062,0.041430439,0.044972606,0.048834292,0.051940548,0.059502026,0.074600214
755.4893,0.021568274,0.041898521,0.045853685,0.049972011,0.053134549,0.060887581,0.076050456
755.9714,0.021928937,0.042363545,0.046856214,0.05130503,0.054297652,0.062359752,0.07768758
756.4535,0.022634225,0.042861767,0.047897119,0.052808645,0.055404027,0.063990008,0.07945907
756.9356,0.02371316,0.04345882,0.048927737,0.054472973,0.056477475,0.065859118,0.081344035
757.4177,0.025167037,0.044236146,0.049953977,0.056306763,0.057585084,0.068026899,0.083365578
757.8999,0.026977081,0.045273014,0.051037539,0.058331332,0.058822388,0.070507799,0.085583984
