Wavenumber,Absorbance (I),Background (I0),T,A
4.92E+02,3.82E-01,1.43E+00,2.67E-01,0.573617631
4.93E+02,3.84E-01,1.44E+00,2.67E-01,0.573339971
4.93E+02,3.86E-01,1.45E+00,2.67E-01,0.574087563
4.94E+02,3.86E-01,1.46E+00,2.66E-01,0.575915953
4.94E+02,3.86E-01,1.46E+00,2.64E-01,0.5785519
4.95E+02,3.86E-01,1.47E+00,2.62E-01,0.581429841
4.95E+02,3.87E-01,1.48E+00,2.61E-01,0.583900712
4.96E+02,3.88E-01,1.49E+00,2.60E-01,0.585454664
4.96E+02,3.90E-01,1.50E+00,2.59E-01,0.585889141
4.97E+02,3.93E-01,1.51E+00,2.60E-01,0.585317383
4.97E+02,3.96E-01,1.52E+00,2.61E-01,0.584044979
4.98E+02,4.00E-01,1.53E+00,2.62E-01,0.582390542
4.98E+02,4.04E-01,1.54E+00,2.63E-01,0.580562215
4.99E+02,4.08E-01,1.55E+00,2.64E-01,0.578642126
4.99E+02,4.12E-01,1.56E+00,2.65E-01,0.576669
4.99E+02,4.16E-01,1.56E+00,2.66E-01,0.574727075
5.00E+02,4.20E-01,1.57E+00,2.67E-01,0.57298495
5.00E+02,4.23E-01,1.58E+00,2.68E-01,0.571631914
5.01E+02,4.26E-01,1.58E+00,2.69E-01,0.570760567
5.01E+02,4.28E-01,1.59E+00,2.69E-01,0.570262001
5.02E+02,4.31E-01,1.60E+00,2.69E-01,0.569819437
5.02E+02,4.34E-01,1.61E+00,2.70E-01,0.569019474
5.03E+02,4.38E-01,1.62E+00,2.71E-01,0.567550575
5.03E+02,4.44E-01,1.63E+00,2.72E-01,0.565373064
5.04E+02,4.50E-01,1.64E+00,2.74E-01,0.562771677
5.04E+02,4.55E-01,1.65E+00,2.75E-01,0.560242044
5.05E+02,4.60E-01,1.66E+00,2.77E-01,0.558285267
5.05E+02,4.64E-01,1.67E+00,2.77E-01,0.55720833
5.06E+02,4.67E-01,1.68E+00,2.77E-01,0.557027138
5.06E+02,4.69E-01,1.69E+00,2.77E-01,0.557499044
5.07E+02,4.70E-01,1.70E+00,2.77E-01,0.558274427
5.07E+02,4.72E-01,1.71E+00,2.76E-01,0.559070834
5.08E+02,4.75E-01,1.72E+00,2.76E-01,0.559793855
5.08E+02,4.77E-01,1.73E+00,2.75E-01,0.560523969
5.09E+02,4.79E-01,1.75E+00,2.75E-01,0.561398214
5.09E+02,4.81E-01,1.76E+00,2.74E-01,0.56245954
5.10E+02,4.83E-01,1.77E+00,2.73E-01,0.56356693
5.10E+02,4.85E-01,1.78E+00,2.73E-01,0.564424861
5.11E+02,4.88E-01,1.79E+00,2.72E-01,0.564718956
5.11E+02,4.91E-01,1.80E+00,2.73E-01,0.564280937
5.12E+02,4.95E-01,1.81E+00,2.73E-01,0.563193147
5.12E+02,4.99E-01,1.82E+00,2.74E-01,0.561757948
5.12E+02,5.04E-01,1.83E+00,2.75E-01,0.560360247
5.13E+02,5.08E-01,1.84E+00,2.76E-01,0.559291309
5.13E+02,5.11E-01,1.85E+00,2.76E-01,0.558633339
5.14E+02,5.14E-01,1.86E+00,2.77E-01,0.558252991
5.14E+02,5.17E-01,1.87E+00,2.77E-01,0.557908894
5.15E+02,5.20E-01,1.88E+00,2.77E-01,0.557399105
5.15E+02,5.23E-01,1.88E+00,2.78E-01,0.556677031
5.16E+02,5.26E-01,1.89E+00,2.78E-01,0.555865856
5.16E+02,5.29E-01,1.90E+00,2.78E-01,0.555179602
5.17E+02,5.32E-01,1.91E+00,2.79E-01,0.554793219
5.17E+02,5.34E-01,1.92E+00,2.79E-01,0.554741975
5.18E+02,5.37E-01,1.93E+00,2.79E-01,0.554904147
5.18E+02,5.40E-01,1.94E+00,2.79E-01,0.555069637
5.19E+02,5.43E-01,1.95E+00,2.79E-01,0.555053818
5.19E+02,5.47E-01,1.96E+00,2.79E-01,0.554788894
5.20E+02,5.52E-01,1.98E+00,2.79E-01,0.554338048
5.20E+02,5.57E-01,1.99E+00,2.79E-01,0.553835919
5.21E+02,5.62E-01,2.01E+00,2.80E-01,0.553390535
5.21E+02,5.66E-01,2.02E+00,2.80E-01,0.553015372
5.22E+02,5.71E-01,2.04E+00,2.80E-01,0.552622564
5.22E+02,5.75E-01,2.05E+00,2.80E-01,0.552086564
5.23E+02,5.79E-01,2.06E+00,2.81E-01,0.55132987
5.23E+02,5.83E-01,2.07E+00,2.82E-01,0.550380499
5.24E+02,5.87E-01,2.08E+00,2.82E-01,0.549366903
5.24E+02,5.90E-01,2.09E+00,2.83E-01,0.54845499
5.25E+02,5.93E-01,2.09E+00,2.83E-01,0.547760652
5.25E+02,5.95E-01,2.10E+00,2.84E-01,0.547294934
5.26E+02,5.97E-01,2.10E+00,2.84E-01,0.5469585
5.26E+02,6.00E-01,2.11E+00,2.84E-01,0.54660606
5.26E+02,6.04E-01,2.12E+00,2.84E-01,0.546125548
5.27E+02,6.08E-01,2.14E+00,2.85E-01,0.545499661
5.27E+02,6.13E-01,2.15E+00,2.85E-01,0.544805244
5.28E+02,6.18E-01,2.16E+00,2.86E-01,0.544165359
5.28E+02,6.23E-01,2.18E+00,2.86E-01,0.543678455
5.29E+02,6.27E-01,2.19E+00,2.86E-01,0.5433727
5.29E+02,6.30E-01,2.20E+00,2.86E-01,0.543203721
5.30E+02,6.33E-01,2.21E+00,2.86E-01,0.543095621
5.30E+02,6.36E-01,2.22E+00,2.86E-01,0.542986825
5.31E+02,6.39E-01,2.23E+00,2.87E-01,0.54285801
5.31E+02,6.42E-01,2.24E+00,2.87E-01,0.542716889
5.32E+02,6.44E-01,2.25E+00,2.87E-01,0.542561266
5.32E+02,6.47E-01,2.25E+00,2.87E-01,0.54234391
5.33E+02,6.49E-01,2.26E+00,2.87E-01,0.541976821
5.33E+02,6.52E-01,2.27E+00,2.87E-01,0.541373572
5.34E+02,6.55E-01,2.27E+00,2.88E-01,0.540516847
5.34E+02,6.58E-01,2.28E+00,2.89E-01,0.539500096
5.35E+02,6.61E-01,2.28E+00,2.89E-01,0.538519069
5.35E+02,6.64E-01,2.29E+00,2.90E-01,0.537794707
5.36E+02,6.66E-01,2.30E+00,2.90E-01,0.537476873
5.36E+02,6.68E-01,2.30E+00,2.90E-01,0.537565247
5.37E+02,6.69E-01,2.31E+00,2.90E-01,0.537897243
5.37E+02,6.70E-01,2.31E+00,2.90E-01,0.538210504
5.38E+02,6.71E-01,2.32E+00,2.90E-01,0.538257521
5.38E+02,6.73E-01,2.32E+00,2.90E-01,0.537908802
5.39E+02,6.76E-01,2.33E+00,2.90E-01,0.537201946
5.39E+02,6.78E-01,2.33E+00,2.91E-01,0.536298935
5.39E+02,6.81E-01,2.34E+00,2.91E-01,0.535390385
5.40E+02,6.83E-01,2.34E+00,2.92E-01,0.534591119
5.40E+02,6.85E-01,2.34E+00,2.92E-01,0.533891244
5.41E+02,6.87E-01,2.34E+00,2.93E-01,0.533177952
5.41E+02,6.89E-01,2.35E+00,2.94E-01,0.532322764
5.42E+02,6.92E-01,2.35E+00,2.94E-01,0.531273241
5.42E+02,6.95E-01,2.36E+00,2.95E-01,0.530105237
5.43E+02,6.98E-01,2.36E+00,2.96E-01,0.529000083
5.43E+02,7.01E-01,2.37E+00,2.96E-01,0.528164594
5.44E+02,7.04E-01,2.37E+00,2.97E-01,0.527736826
